letter,frequency
July 15,21409
August 15,23915
September 15,33938
October 15,22715
November 15,21816
December 15,28116
January 16,27657
February 16,19912
March 16,20430
April 16,26536
May 16,30248
June 16,24676
July 16,21815
August 16,25972
September 16,22581
October 16,31922
November 16,33263
December 16,24056
January 17,23919
February 17,23152
April 17,25697
May 17,32015
June 17,28783
July 17,21890
August 17,25800
September 17,18283
October 17,20046
November 17,22501
December 17,19482
January 18,20987
February 18,29370
March 18,28651
April 18,28275
May 18,31311
June 18,24302
July 18,24264
August 18,23333
September 18,25532
October 18,20232
November 18,25740
January 19,29805
February 19,21670
March 19,20602
April 19,18669
May 19,18817
June 19,19334
July 19,21129
August 19,19838
September 19,25086
October 19,24874
November 19,20680
December 19,25723
January 20,22421
February 20,17273
March 20,21475
April 20,19972
May 20,24405
June 20,27327
July 20,26576
