Date,"The Damned (band)"
2015-07,21409
2015-08,23915
2015-09,33938
2015-10,22715
2015-11,21816
2015-12,28116
2016-01,27657
2016-02,19912
2016-03,20430
2016-04,26536
2016-05,30248
2016-06,24676
2016-07,21815
2016-08,25972
2016-09,22581
2016-10,31922
2016-11,33263
2016-12,24056
2017-01,23919
2017-02,23152
2017-03,25697
2017-04,32015
2017-05,28783
2017-06,21890
2017-07,25800
2017-08,18283
2017-09,20046
2017-10,22501
2017-11,19482
2017-12,20987
2018-01,29370
2018-02,28651
2018-03,28275
2018-04,31311
2018-05,24302
2018-06,24264
2018-07,23333
2018-08,25532
2018-09,20232
2018-10,25740
2018-11,29805
2018-12,21670
2019-01,20602
2019-02,18669
2019-03,18817
2019-04,19334
2019-05,21129
2019-06,19838
2019-07,25086
2019-08,24874
2019-09,20680
2019-10,25723
2019-11,22421
2019-12,17273
2020-01,21475
2020-02,19972
2020-03,24405
2020-04,27327
2020-05,26576
